media_id,taken_at,username,follower_count,caption,media_product_type,media_type,like_count,comment_count,save_count,share_count,video_view_count,reach
639175920467511063,1787582911,anaya75,1329,"friday faves, 12 things i actually used this week #FridayFaves",STORY,VIDEO,0,0,0,0,732,327
300037549766934955,1787695084,zoya519_,558,"repair karana sasta hai, log samajhte nahi #RepairNotReplace",REELS,VIDEO,10,0,1,0,726,392
359406088923787287,1787657501,tanvir683,216,clip of that moment is everywhere now #WatchParty,REELS,VIDEO,6,0,1,0,205,175
175644776534295398,1787633700,shreya404_,766,still stuck on the loading screen #AppDown,REELS,VIDEO,11,0,0,3,788,822
822044578312726467,1787681587,tanvir811x,498,NOBODY saw that result coming #UnderdogWin,REELS,VIDEO,30,2,3,0,983,423
914104630593550997,1787701174,anaya371x,84,clip of that moment is everywhere now #WatchParty,REELS,VIDEO,2,0,0,0,182,95
484742230888033736,1787680373,vikram666_,647,clip of that moment is everywhere now #SingalongChallenge,REELS,VIDEO,37,0,8,4,943,846
964991854130257545,1787697365,bina1153_in,202,everyone using this audio as a template #WatchParty,FEED,IMAGE,6,0,1,0,,163
916880314899466570,1787683909,aisha570_in,100,"bhai ye wala stall best hai, 58 me itna khana #LateNightEats",REELS,VIDEO,3,0,0,0,231,64
243098378908438105,1787678508,omar73,538,queue was 40 min long and honestly worth it #StreetFoodFinds,STORY,IMAGE,0,0,0,0,,462
730086287412048020,1787642580,bina159_in,278,ei match ta bhulte parbo na #UnderdogWin,FEED,IMAGE,7,0,0,0,,326
436320308348008311,1787681101,vikram109607,275,biggest upset of the season easily #UnderdogWin,REELS,VIDEO,7,0,1,1,324,181
574932087381557534,1787696086,priya487official,187,"the whole crowd singing along, chills #SingalongChallenge",STORY,VIDEO,0,0,0,0,56,56
980579986607242988,1787696806,arjun774_,278,ei match ta bhulte parbo na #MatchNight,FEED,IMAGE,7,0,0,0,,245
263327765134649487,1787698608,rahul392official,135,"late night eats thread, adding this one to the list #LateNightEats",REELS,VIDEO,2,0,0,0,50,38
583535625869673690,1787659984,nadia860official,502,clip of that moment is everywhere now #SingalongChallenge,FEED,CAROUSEL_ALBUM,7,0,0,1,,252
206827200284767130,1787651305,zoya108x,491,watch party er environment ta osadharon chilo #WatchParty,STORY,VIDEO,0,0,0,0,761,235
738184899667986932,1787662901,shreya144_in,292,underdogs really did that tonight #MatchNight,FEED,CAROUSEL_ALBUM,5,0,0,1,,275
266529877669557019,1787553119,aisha11_in,907,underdogs really did that tonight #UnderdogWin,FEED,CAROUSEL_ALBUM,8,0,0,1,,277
730239031836755054,1787691135,sunny946x,341,clip of that moment is everywhere now #WatchParty,FEED,IMAGE,7,0,0,0,,220
227542562175571331,1787651215,vikram550official,789,everyone using this audio as a template #WatchParty,REELS,VIDEO,19,1,1,4,1249,664
765563542297588587,1787658082,kabir758_,8288,last over replay pe replay dekh raha hu #UnderdogWin,FEED,IMAGE,73,4,6,20,,9771
279075192812202869,1787647767,omar173677,510,queue was 40 min long and honestly worth it #LateNightEats,REELS,VIDEO,13,0,0,3,271,262
686012732696490116,1787697111,priya49,6005,"the whole crowd singing along, chills #SingalongChallenge",FEED,IMAGE,26,0,5,1,,633
520755639580233555,1787641656,priya49,6005,"the whole crowd singing along, chills #SingalongChallenge",REELS,VIDEO,88,6,1,23,5815,5041
115268921686399651,1787579932,zoya58official,3147,anyone know how long the update usually takes? #DeliveryStatus,STORY,IMAGE,0,0,0,0,,2214
813250551147910589,1787594033,farhan4107,647,honest review after two weeks of daily use #GadgetCheck,REELS,VIDEO,8,0,0,0,751,365
882503317347699769,1787642819,sana124_,163,"repair karana sasta hai, log samajhte nahi #RepairNotReplace",FEED,CAROUSEL_ALBUM,0,0,0,0,,156
104623457033561661,1787670330,neel477275,72,"bhai ye wala stall best hai, 103 me itna khana #StreetFoodFinds",REELS,VIDEO,2,0,0,0,54,44
462108953436443094,1787700156,sunny676,1293,"the whole crowd singing along, chills #SingalongChallenge",REELS,VIDEO,33,3,0,4,866,734
167355139652991208,1787699803,rahul677,251,this haul format is everywhere on my feed now #CampusHaul,FEED,CAROUSEL_ALBUM,6,0,1,1,,100
707390232063779973,1787688298,anaya583148,534,"late night eats thread, adding this one to the list #StreetFoodFinds",REELS,VIDEO,11,0,0,0,842,300
908625802399564764,1787692041,dipu627832,5716,is the app down for everyone or just me #ServerOutage,FEED,IMAGE,9,0,2,0,,
215392679830049608,1787685756,kabir778x,2994,everyone using this audio as a template #WatchParty,REELS,VIDEO,102,3,2,20,4562,2701
530578388708829849,1787691722,rahul936,398,"ei jaygar khabar ta darun, must try #LateNightEats",FEED,CAROUSEL_ALBUM,3,0,0,0,,242
252145942043209936,1787615414,farhan495x,23,"back to campus haul, everything under 4200 #BackToCampus",REELS,VIDEO,0,0,0,0,84,45
393632012489687308,1787688455,vikram76,413,ei match ta bhulte parbo na #MatchNight,FEED,CAROUSEL_ALBUM,17,0,0,3,,315
781283086128318884,1787641938,bina12807,80,"delivery took 3 days longer than promised, finally here #ShippingUpdate",FEED,IMAGE,0,0,0,0,,24
489991012877316498,1787604606,jay418905,3735,"ok it's a regional thing, not a full outage #AppDown",FEED,IMAGE,5,0,0,0,,284
736323326394883994,1787700878,zoya1084344,822,found this 42-rupee plate near the station and i'm never recovering #StreetFoodFinds,STORY,VIDEO,0,0,0,0,614,468
611507484686458265,1787666047,anaya75,1329,underdogs really did that tonight #MatchNight,REELS,VIDEO,5,0,0,0,1210,687
727590661849192537,1787697921,meera535_,650,ei match ta bhulte parbo na #UnderdogWin,FEED,CAROUSEL_ALBUM,10,0,1,1,,440
380227885591477595,1787653339,rahul270_in,596,everyone using this audio as a template #SingalongChallenge,STORY,IMAGE,0,0,0,0,,72
188614260370096138,1787679470,hasan618official,1318,found this 27-rupee plate near the station and i'm never recovering #LateNightEats,FEED,CAROUSEL_ALBUM,6,0,1,0,,611
586480204882945697,1787651537,shreya545official,195,"the whole crowd singing along, chills #SingalongChallenge",FEED,CAROUSEL_ALBUM,4,0,0,0,,90
337827689513207822,1787681109,meera690,466,ei match ta bhulte parbo na #UnderdogWin,REELS,VIDEO,14,0,2,2,702,
