post_id,created_at,author_handle,author_followers,text,media_type,like_count,repost_count,reply_count,quote_count,bookmark_count,impression_count,lang,in_reply_to_id
x838990011392770679,2026-08-24T20:26:01Z,hasan20,72,honest review after two weeks of daily use #HonestReview,video,0,0,0,0,0,32,hi,
x705322266681277708,2026-08-25T21:19:08Z,neel974,183,"bhai ye wala stall best hai, 18 me itna khana #StreetFoodFinds",photo,1,0,0,0,0,61,en,x259486632895864629
x562680699605203522,2026-08-24T23:40:47Z,fastsupport507,133,refund not credited yet. @claimnow8 fastest support #OrderIssue,video,0,0,0,0,0,104,bn,
x121131522273540379,2026-08-25T22:36:41Z,helpdeskx7x,14,"order issue solved in 10 min, DM @refundhelp1 #OrderIssue",none,0,0,0,0,0,36,en,
x353538819347311564,2026-08-24T16:01:42Z,rizwan62_in,696,"parts pairing is the real problem, not the screws #RightToRepair",video,19,1,3,1,0,642,en,
x147011332115095681,2026-08-25T22:48:26Z,omar265,1083,everyone using this audio as a template #SingalongChallenge,video,5,1,0,0,0,151,hi,
x663908927462748176,2026-08-24T22:36:30Z,bina580775,821,why is replacing the battery cheaper than the whole phone now #RightToRepair,none,6,1,0,0,0,569,en,
x666489047524067861,2026-08-25T21:28:53Z,meera72007,300,"the whole crowd singing along, chills #WatchParty",video,3,0,0,0,0,66,hi,
x489263542831372405,2026-08-25T19:07:15Z,shreya243_,660,"took it to a local shop, fixed for 3400. brand quoted 5x that #RepairNotReplace",photo,15,2,1,0,0,397,hi,x596915119175114831
x610923617065798695,2026-08-25T19:36:03Z,sana43719,656,clip of that moment is everywhere now #WatchParty,none,6,1,0,0,0,,bn,
x280464764767277778,2026-08-24T08:22:33Z,priya167official,1401,is the app down for everyone or just me #AppDown,none,29,7,1,2,3,844,en,
x848324028431151109,2026-08-24T14:37:49Z,fastsupport0_in,71,"order issue solved in 10 min, DM @fastsupport0_in #OrderIssue",none,0,0,0,0,0,36,hi,
x978952765422534176,2026-08-24T22:43:07Z,helpdeskx2official,4,"order issue solved in 10 min, DM @fastsupport4_in #OrderIssue",photo,0,0,0,0,0,33,bn,
x803062179213443164,2026-08-25T15:39:44Z,farhan495x,23,"ei jaygar khabar ta darun, must try #StreetFoodFinds",video,2,0,0,0,0,21,en,
x289636869135958653,2026-08-25T11:40:33Z,imran260_in,629,biggest upset of the season easily #MatchNight,video,33,4,1,1,0,610,hi,
x146336251968182734,2026-08-25T17:23:19Z,vikram121x,305,"the whole crowd singing along, chills #WatchParty",video,1,0,0,0,0,46,ur,
x365921412878551922,2026-08-24T06:17:56Z,priya117official,224,shipping status change hone me kitna time lagta hai #DeliveryStatus,video,3,0,0,0,0,194,en,
x795536613890781497,2026-08-25T13:55:09Z,meera503,2962,watch party er environment ta osadharon chilo #WatchParty,none,43,8,5,3,4,1840,en,
x528937926196210013,2026-08-25T08:16:27Z,zoya795535,209,"bhai ye wala stall best hai, 27 me itna khana #StreetFoodFinds",photo,2,0,0,0,0,30,en,
x562661942392820850,2026-08-25T10:35:51Z,kabir432,232,NOBODY saw that result coming #MatchNight,photo,0,0,0,0,0,54,en,x541549395460464746
x565496459605872159,2026-08-25T09:28:03Z,shreya881_,4699,ei match ta bhulte parbo na #MatchNight,photo,61,18,1,2,2,813,en,
x246370075496901133,2026-08-25T23:27:58Z,nadia1199741,1554,this haul format is everywhere on my feed now #BackToCampus,photo,15,2,1,1,1,1219,en,
x318641293000705287,2026-08-25T08:44:09Z,shreya162x,3036,everyone using this audio as a template #WatchParty,none,71,18,3,4,3,,en,
x668746254658008065,2026-08-25T17:29:13Z,jay654x,268,ei match ta bhulte parbo na #UnderdogWin,photo,11,1,0,0,1,257,en,
x764707558383217718,2026-08-25T23:26:21Z,zoya1134x,259,underdogs really did that tonight #MatchNight,photo,0,0,0,0,0,73,en,x889920039593358400
x483463963052861912,2026-08-25T13:32:18Z,priya153_in,607,queue was 40 min long and honestly worth it #LateNightEats,photo,8,0,0,0,1,347,en,
x172431096501759104,2026-08-25T20:22:18Z,zoya79,3470,"ei jaygar khabar ta darun, must try #StreetFoodFinds",none,142,16,13,5,3,2992,bn,
x434069482866950705,2026-08-25T10:18:02Z,helpdeskx2official,4,refund not credited yet. @helpdeskx2official fastest support #RefundDelay,photo,0,0,0,0,0,29,en,
x298109722779528922,2026-08-25T17:30:30Z,kabir778x,2994,"false alarm apparently, working again on my end #AppDown",none,50,17,6,0,6,1563,en,
x404952906481735465,2026-08-25T15:01:08Z,fastsupport507,133,refund pending since 48 hours. contact @fastsupport4_in for fast resolution #RefundDelay,photo,0,0,0,0,0,27,en,
x610582441346730824,2026-08-25T21:08:28Z,shreya791,3732,clip of that moment is everywhere now #WatchParty,video,2,0,0,0,0,336,en,x814670072662229856
x855125880257272528,2026-08-25T09:56:50Z,helpdeskx2official,4,refund not credited yet. @helpdeskx2official fastest support #RefundDelay,photo,0,0,0,0,0,38,en,
x856805491865321535,2026-08-25T22:08:53Z,neel717x,918,"back to campus haul, everything under 2700 #BackToCampus",photo,3,0,0,0,0,189,en,
x604696429978548854,2026-08-25T00:52:42Z,anaya556official,1022,last over replay pe replay dekh raha hu #UnderdogWin,video,21,6,4,0,2,641,en,
x267006037295740517,2026-08-25T08:56:40Z,omar486,100,"the whole crowd singing along, chills #WatchParty",video,3,0,0,0,0,93,en,x133959630294488542
x726420947072449439,2026-08-25T13:37:49Z,neel964151,1292,underdogs really did that tonight #MatchNight,photo,37,7,1,2,0,950,en,
x148656885996820750,2026-08-25T18:36:08Z,arjun17807,841,last over replay pe replay dekh raha hu #MatchNight,video,5,0,0,0,0,117,hi,x606460453050086782
x348511016556463180,2026-08-25T10:32:40Z,imran68107,409,found this 18-rupee plate near the station and i'm never recovering #StreetFoodFinds,photo,22,3,2,1,2,388,bn,
x705835323059127734,2026-08-25T16:29:27Z,arjun43807,103,"took it to a local shop, fixed for 2700. brand quoted 5x that #RepairNotReplace",none,2,0,0,0,0,40,en,
x983674986897987187,2026-08-25T13:36:33Z,rizwan86,593,"this week's roundup is live, have a read #WeeklyRoundup",video,1,0,0,0,0,167,en,
x202504002574117588,2026-08-25T23:34:14Z,bina89507,456,this haul format is everywhere on my feed now #BackToCampus,none,16,3,3,1,1,300,en,x154151059955169983
x226008298897118814,2026-08-25T12:21:53Z,vikram608,45,found this 34-rupee plate near the station and i'm never recovering #LateNightEats,none,1,0,0,0,0,21,en,
